References,gal_name,gal_ra_deg,gal_dec_deg,gal_vlsr_km/s,qso_hsla_name,qso_ra_deg,qso_dec_deg,impact_para_kpc,impact_para_err,qso_hsla_snr,qso_snr_stis,gal_z,gal_dmpc,d_err,d_ref,logM*,logM*_err,M*_ref,logM200m,logM200m_err,M200m_ref,logM200c,logM200c_err,M200c_ref,logMHI,logMHI_err,MHI_ref,logSFR_flg,logSFR(Msun/yr),logSFR_err,SFR_ref,R200m_kpc,R200m_err,R200c_kpc,R200c_err,Wr_flg_HI,Wr_HI,eWr_HI,logN_flg_HI,logN_HI,elogN_HI,Wr_flg_SiII,Wr_SiII,eWr_SiII,logN_flg_SiII,logN_SiII,elogN_SiII,Wr_flg_SiIII,Wr_SiIII,eWr_SiIII,logN_flg_SiIII,logN_SiIII,elogN_SiIII,Wr_flg_SiIV,Wr_SiIV,eWr_SiIV,logN_flg_SiIV,logN_SiIV,elogN_SiIV,Wr_flg_CII,Wr_CII,eWr_CII,logN_flg_CII,logN_CII,elogN_CII,Wr_flg_CIV,Wr_CIV,eWr_CIV,logN_flg_CIV,logN_CIV,elogN_CIV,Wr_flg_OVI,Wr_OVI,eWr_OVI,logN_flg_OVI,logN_OVI,elogN_OVI
Liang&Chen2014,SDSSJ025906.86+004306.4,44.7786,0.7184,nan,SDSSJ025937.46+003736.3,44.9061,0.6268,481.5,nan,6.6,nan,0.0432,nan,nan,,8.93,nan,Liang+2014(Kroupa IMF),11.24,nan,M21,11.09,nan,M21,nan,nan,,,-1.19,nan,Liang+2014,174.3,nan,104.9,nan,<=(1sig),13.5,nan,<=(1sig),12.39,nan,<=(1sig),10.5,nan,<=(1sig),11.8,nan,<=(1sig),9.0,nan,<=(1sig),11.63,nan,,nan,nan,,nan,nan,<=(1sig),16.0,nan,<=(1sig),12.9,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ134252.05+051415.2,205.7169,5.2376,nan,SDSSJ134206.56+050523.8,205.5275,5.09,486.9,nan,8.5,nan,0.0281,nan,nan,,8.93,nan,Liang+2014(Kroupa IMF),11.24,nan,M21,11.09,nan,M21,nan,nan,,,-0.34,nan,Liang+2014,174.3,nan,104.9,nan,<=(1sig),11.5,nan,<=(1sig),12.32,nan,<=(1sig),7.5,nan,<=(1sig),11.66,nan,<=(1sig),7.0,nan,<=(1sig),11.52,nan,<=(1sig),14.0,nan,<=(1sig),12.2,nan,<=(1sig),19.5,nan,<=(1sig),12.99,nan,<=(1sig),13.5,nan,<=(1sig),12.53,nan,,nan,nan,,nan,nan
Johnson+2017,D12,231.0954,9.9853,nan,PG-1522+101,231.1024,9.9749,169.0,nan,12.8,nan,0.2402,nan,nan,,8.93,nan,Johnson+2017(Kroupa IMF),11.24,nan,M21,11.09,nan,M21,nan,nan,,,nan,nan,,174.3,nan,104.9,nan,=,230.0,10.0,=,13.63,0.02,<=(1sig),5.0,nan,<=(1sig),11.48,nan,,nan,nan,,nan,nan,<=(1sig),10.0,nan,<=(1sig),12.05,nan,,nan,nan,,nan,nan,<=(1sig),35.0,nan,<=(1sig),12.94,nan,<=(1sig),10.0,nan,<=(1sig),12.9,nan
Liang&Chen2014,SDSSJ143434.58+361717.9,218.6441,36.2884,nan,SDSSJ143511.53+360437.2,218.798,36.077,183.0,nan,5.7,nan,0.0101,nan,nan,,8.93,nan,Liang+2014(Kroupa IMF),11.24,nan,M21,11.09,nan,M21,nan,nan,,,-1.21,nan,Liang+2014,174.3,nan,104.9,nan,=,341.0,23.0,=,13.8,0.03,,nan,nan,,nan,nan,<=(1sig),17.5,nan,<=(1sig),11.92,nan,<=(1sig),12.5,nan,<=(1sig),12.15,nan,<=(1sig),13.5,nan,<=(1sig),12.83,nan,<=(1sig),28.5,nan,<=(1sig),12.85,nan,,nan,nan,,nan,nan
Bordoloi+2014,322_238,205.5779,38.5367,nan,SDSSJ134231.22+382903.4,205.6305,38.4843,54.0,nan,9.9,nan,0.012,nan,nan,,9.02,nan,Bordoloi14(Kroupa IMF),11.290000000000001,nan,M21,11.14,nan,M21,nan,nan,,<,-1.8,nan,Bordoloi+2014,181.1,nan,109.0,nan,=,509.3,20.1,=,14.26,0.03,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),19.0,nan,<=(1sig),12.77,nan,,nan,nan,,nan,nan
Bordoloi+2014,327_30,244.2,41.9115,nan,SDSSJ161649.42+415416.3,244.2059,41.9046,55.0,nan,6.5,nan,0.104,nan,nan,,9.02,nan,Bordoloi14(Kroupa IMF),11.290000000000001,nan,M21,11.14,nan,M21,nan,nan,,=,-0.2,nan,Bordoloi+2014,181.1,nan,109.0,nan,>,707.2,21.2,>,14.54,0.03,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),39.0,nan,<=(1sig),13.17,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ092110.81+455316.1,140.2951,45.8878,nan,SDSSJ092554.43+453544.4,141.4768,45.5956,406.1,nan,12.0,nan,0.0063,nan,nan,,9.03,nan,Liang+2014(Kroupa IMF),11.290000000000001,nan,M21,11.14,nan,M21,nan,nan,,,nan,nan,Liang+2014,181.1,nan,109.0,nan,,nan,nan,,nan,nan,<=(1sig),4.5,nan,<=(1sig),11.43,nan,,nan,nan,,nan,nan,<=(1sig),10.5,nan,<=(1sig),12.08,nan,<=(1sig),7.0,nan,<=(1sig),12.54,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Johnson+2017,D13,219.4354,-1.8028,nan,LBQS-1435-0134,219.4512,-1.7863,173.0,nan,12.0,nan,0.1161,nan,nan,,9.03,nan,Johnson+2017(Kroupa IMF),11.290000000000001,nan,M21,11.14,nan,M21,nan,nan,,,nan,nan,,181.1,nan,109.0,nan,=,30.0,10.0,=,12.74,0.14,<=(1sig),5.0,nan,<=(1sig),11.48,nan,<=(1sig),5.0,nan,<=(1sig),11.38,nan,<=(1sig),10.0,nan,<=(1sig),12.05,nan,,nan,nan,,nan,nan,<=(1sig),10.0,nan,<=(1sig),12.39,nan,<=(1sig),15.0,nan,<=(1sig),13.08,nan
Liang&Chen2014,SDSSJ152827.39+282738.6,232.1147,28.4617,nan,TON236,232.1692,28.425,192.7,nan,18.0,nan,0.0451,nan,nan,,9.03,nan,Liang+2014(Kroupa IMF),11.290000000000001,nan,M21,11.14,nan,M21,nan,nan,,,-0.3,nan,Liang+2014,181.1,nan,109.0,nan,=,160.0,8.0,=,13.47,0.02,,nan,nan,,nan,nan,<=(1sig),4.5,nan,<=(1sig),11.33,nan,<=(1sig),5.5,nan,<=(1sig),11.79,nan,<=(1sig),8.0,nan,<=(1sig),12.6,nan,<=(1sig),11.5,nan,<=(1sig),12.46,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ092721.06+454158.8,141.8378,45.6997,nan,SDSSJ092554.43+453544.4,141.4768,45.5956,342.3,nan,12.0,nan,0.0171,nan,nan,,9.03,nan,Liang+2014(Kroupa IMF),11.290000000000001,nan,M21,11.14,nan,M21,nan,nan,,,-1.37,nan,Liang+2014,181.1,nan,109.0,nan,=,183.0,10.0,=,13.53,0.02,<=(1sig),8.0,nan,<=(1sig),11.68,nan,,nan,nan,,nan,nan,<=(1sig),8.5,nan,<=(1sig),11.98,nan,,nan,nan,,nan,nan,<=(1sig),10.0,nan,<=(1sig),12.39,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ114811.32+545930.4,177.0472,54.9918,nan,PG1148+549,177.8353,54.6259,349.5,nan,12.7,nan,0.0081,nan,nan,,9.03,nan,Liang+2014(Kroupa IMF),11.290000000000001,nan,M21,11.14,nan,M21,nan,nan,,,nan,nan,Liang+2014,181.1,nan,109.0,nan,=,135.0,7.0,=,13.39,0.02,<=(1sig),2.5,nan,<=(1sig),11.18,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),4.5,nan,<=(1sig),12.35,nan,<=(1sig),5.5,nan,<=(1sig),12.14,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ112418.74+420323.1,171.0781,42.0564,nan,PG1121+422,171.1631,42.0292,122.6,nan,18.2,nan,0.0246,nan,nan,,9.03,nan,Liang+2014(Kroupa IMF),11.290000000000001,nan,M21,11.14,nan,M21,nan,nan,,,-1.17,nan,Liang+2014,181.1,nan,109.0,nan,=,512.0,9.0,=,13.97,0.01,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),8.0,nan,<=(1sig),11.96,nan,<=(1sig),7.5,nan,<=(1sig),12.57,nan,<=(1sig),11.5,nan,<=(1sig),12.46,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ091458.38+281005.9,138.7433,28.1683,nan,SDSSJ091440.38+282330.6,138.6683,28.3918,462.1,nan,7.4,nan,0.0274,nan,nan,,9.03,nan,Liang+2014(Kroupa IMF),11.290000000000001,nan,M21,11.14,nan,M21,nan,nan,,,-1.42,nan,Liang+2014,181.1,nan,109.0,nan,<=(1sig),14.0,nan,<=(1sig),12.41,nan,<=(1sig),15.0,nan,<=(1sig),11.96,nan,<=(1sig),9.5,nan,<=(1sig),11.66,nan,<=(1sig),13.5,nan,<=(1sig),12.18,nan,<=(1sig),14.0,nan,<=(1sig),12.84,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ095450.58+414859.8,148.7107,41.8165,nan,PG0953+414,149.2183,41.2562,382.1,nan,39.6,nan,0.0076,nan,nan,,9.03,nan,Liang+2014(Kroupa IMF),11.290000000000001,nan,M21,11.14,nan,M21,nan,nan,,,-1.23,nan,Liang+2014,181.1,nan,109.0,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),3.5,nan,<=(1sig),11.6,nan,<=(1sig),3.5,nan,<=(1sig),12.24,nan,<=(1sig),4.0,nan,<=(1sig),12.0,nan,,nan,nan,,nan,nan
Bordoloi+2014,65_308,182.7488,31.9867,nan,SDSSJ121037.56+315706.0,182.6565,31.9517,134.0,nan,6.0,nan,0.022,nan,nan,,9.12,nan,Bordoloi14(Kroupa IMF),11.34,nan,M21,11.19,nan,M21,nan,nan,,<,-2.4,nan,Bordoloi+2014,188.2,nan,113.2,nan,<=(1sig),18.2,nan,<=(1sig),12.52,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),25.0,nan,<=(1sig),12.81,nan,,nan,nan,,nan,nan
Bordoloi+2014,93_248,209.3748,17.0748,nan,SDSSJ135712.61+170444.1,209.3025,17.0789,124.0,nan,14.8,nan,0.026,nan,nan,,9.12,nan,Bordoloi14(Kroupa IMF),11.34,nan,M21,11.19,nan,M21,nan,nan,,=,-0.4,nan,Bordoloi+2014,188.2,nan,113.2,nan,<=(1sig),10.0,nan,<=(1sig),12.26,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),17.0,nan,<=(1sig),12.63,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ111155.20+352947.3,167.98,35.4965,nan,SDSSJ111239.11+353928.2,168.163,35.6578,424.7,nan,4.8,nan,0.0267,nan,nan,,9.13,nan,Liang+2014(Kroupa IMF),11.34,nan,M21,11.19,nan,M21,nan,nan,,,-1.44,nan,Liang+2014,188.2,nan,113.2,nan,=,250.0,26.0,=,13.66,0.05,<=(1sig),15.0,nan,<=(1sig),11.96,nan,<=(1sig),12.0,nan,<=(1sig),11.76,nan,<=(1sig),21.0,nan,<=(1sig),12.38,nan,<=(1sig),20.5,nan,<=(1sig),13.01,nan,<=(1sig),40.5,nan,<=(1sig),13.0,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ124107.02+572319.0,190.2793,57.3886,nan,SDSSJ124154.02+572107.3,190.4751,57.352,222.0,nan,9.1,nan,0.0275,nan,nan,,9.13,nan,Liang+2014(Kroupa IMF),11.34,nan,M21,11.19,nan,M21,nan,nan,,,-0.8,nan,Liang+2014,188.2,nan,113.2,nan,=,591.0,10.0,=,14.04,0.01,<=(1sig),14.0,nan,<=(1sig),11.93,nan,<=(1sig),7.5,nan,<=(1sig),11.55,nan,<=(1sig),12.5,nan,<=(1sig),12.15,nan,<=(1sig),14.0,nan,<=(1sig),12.84,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ112644.33+590926.0,171.6846,59.1556,nan,SBS1122+594,171.4741,59.1727,32.4,nan,10.5,nan,0.004,nan,nan,,9.13,nan,Liang+2014(Kroupa IMF),11.34,nan,M21,11.19,nan,M21,nan,nan,,,-0.98,nan,Liang+2014,188.2,nan,113.2,nan,=,993.0,15.0,=,14.26,0.01,,nan,nan,,nan,nan,=,290.0,11.0,=,13.14,0.02,=,166.0,12.0,=,13.27,0.03,=,106.0,12.0,=,13.72,0.05,=,586.0,12.0,=,14.16,0.01,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ121413.94+140330.4,183.5581,14.0584,nan,PG1211+143,183.5736,14.0537,70.1,nan,21.5,12.0,0.0644,nan,nan,,9.13,nan,Liang+2014(Kroupa IMF),11.34,nan,M21,11.19,nan,M21,nan,nan,,,nan,nan,Liang+2014,188.2,nan,113.2,nan,=,859.0,9.0,=,14.2,0.0,<=(1sig),2.0,nan,<=(1sig),11.08,nan,<=(1sig),3.0,nan,<=(1sig),11.15,nan,<=(1sig),5.0,nan,<=(1sig),11.75,nan,<=(1sig),5.0,nan,<=(1sig),12.39,nan,<=(1sig),7.5,nan,<=(1sig),12.27,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ043936.88-530045.5,69.9037,-53.0126,nan,RXJ0439.6-5311,69.9113,-53.1921,74.3,nan,3.9,nan,0.0056,nan,nan,,9.13,nan,Liang+2014(Kroupa IMF),11.34,nan,M21,11.19,nan,M21,nan,nan,,,nan,nan,Liang+2014,188.2,nan,113.2,nan,=,518.0,9.0,=,13.98,0.01,,nan,nan,,nan,nan,=,152.0,10.0,=,12.86,0.03,=,47.0,8.0,=,12.73,0.07,<=(1sig),8.5,nan,<=(1sig),12.62,nan,=,59.0,10.0,=,13.17,0.07,,nan,nan,,nan,nan
Bordoloi+2014,356_25,189.0163,26.7004,nan,SDSSJ123604.02+264135.9,189.0165,26.6933,28.0,nan,6.0,nan,0.062,nan,nan,,9.22,nan,Bordoloi14(Kroupa IMF),11.39,nan,M21,11.24,nan,M21,nan,nan,,=,-0.3,nan,Bordoloi+2014,195.6,nan,117.7,nan,>,794.9,29.3,>,14.56,0.03,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,=,258.0,83.0,>,14.38,nan,,nan,nan,,nan,nan
Bordoloi+2014,160_190,205.7143,18.6957,nan,SDSSJ134246.89+184443.6,205.695,18.7455,101.0,nan,7.5,nan,0.027,nan,nan,,9.22,nan,Bordoloi14(Kroupa IMF),11.39,nan,M21,11.24,nan,M21,nan,nan,,=,-0.6,nan,Bordoloi+2014,195.6,nan,117.7,nan,>,487.2,22.5,>,14.32,0.03,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,=,158.0,44.0,=,13.71,0.11,,nan,nan,,nan,nan
Bordoloi+2014,210_241,205.4934,5.0321,nan,SDSSJ134206.56+050523.8,205.527,5.09,116.0,nan,8.5,nan,0.025,nan,nan,,9.22,nan,Bordoloi14(Kroupa IMF),11.39,nan,M21,11.24,nan,M21,nan,nan,,=,-0.5,nan,Bordoloi+2014,195.6,nan,117.7,nan,>,928.1,22.0,>,14.65,0.02,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),17.0,nan,<=(1sig),13.05,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ145002.76+522422.5,222.5115,52.4062,nan,SDSSJ143726.14+504555.8,219.3589,50.7655,455.2,nan,3.0,nan,0.0024,nan,nan,,9.23,nan,Liang+2014(Kroupa IMF),11.4,nan,M21,11.25,nan,M21,nan,nan,,,-0.79,nan,Liang+2014,197.1,nan,118.6,nan,<=(1sig),40.5,nan,<=(1sig),12.87,nan,<=(1sig),19.0,nan,<=(1sig),12.06,nan,<=(1sig),23.0,nan,<=(1sig),12.04,nan,<=(1sig),29.0,nan,<=(1sig),12.52,nan,<=(1sig),34.0,nan,<=(1sig),13.23,nan,<=(1sig),31.0,nan,<=(1sig),12.89,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ143757.31+504432.0,219.4888,50.7422,nan,SDSSJ143726.14+504555.8,219.3589,50.7655,261.0,nan,3.0,nan,0.0431,nan,nan,,9.23,nan,Liang+2014(Kroupa IMF),11.4,nan,M21,11.25,nan,M21,nan,nan,,,-1.04,nan,Liang+2014,197.1,nan,118.6,nan,=,261.0,22.0,=,13.68,0.04,<=(1sig),19.5,nan,<=(1sig),12.07,nan,<=(1sig),18.5,nan,<=(1sig),11.95,nan,<=(1sig),22.0,nan,<=(1sig),12.4,nan,,nan,nan,,nan,nan,<=(1sig),5.0,nan,<=(1sig),12.09,nan,,nan,nan,,nan,nan
Johnson+2017,D16,37.0862,-40.9469,nan,HE0226-4110,37.0633,-40.9541,224.0,nan,28.8,nan,0.1992,nan,nan,,9.23,nan,Johnson+2017(Kroupa IMF),11.4,nan,M21,11.25,nan,M21,nan,nan,,,nan,nan,,197.1,nan,118.6,nan,=,350.0,10.0,=,13.81,0.01,<=(1sig),5.0,nan,<=(1sig),11.48,nan,<=(1sig),5.0,nan,<=(1sig),11.38,nan,<=(1sig),15.0,nan,<=(1sig),12.23,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),5.0,nan,<=(1sig),12.6,nan
Liang&Chen2014,SDSSJ092617.38+452924.9,141.5724,45.4903,nan,SDSSJ092554.43+453544.4,141.4768,45.5956,243.9,nan,12.0,nan,0.027,nan,nan,,9.23,nan,Liang+2014(Kroupa IMF),11.4,nan,M21,11.25,nan,M21,nan,nan,,,nan,nan,Liang+2014,197.1,nan,118.6,nan,=,453.0,10.0,=,13.92,0.01,<=(1sig),4.5,nan,<=(1sig),11.43,nan,<=(1sig),5.5,nan,<=(1sig),11.42,nan,<=(1sig),9.0,nan,<=(1sig),12.01,nan,<=(1sig),7.5,nan,<=(1sig),12.57,nan,<=(1sig),14.0,nan,<=(1sig),12.54,nan,,nan,nan,,nan,nan
Johnson+2017,D6,219.4567,-1.7842,nan,LBQS-1435-0134,219.4512,-1.7863,63.0,nan,12.0,nan,0.1839,nan,nan,,9.23,nan,Johnson+2017(Kroupa IMF),11.4,nan,M21,11.25,nan,M21,nan,nan,,,nan,nan,,197.1,nan,118.6,nan,=,540.0,10.0,=,14.0,0.01,<=(1sig),5.0,nan,<=(1sig),11.48,nan,<=(1sig),5.0,nan,<=(1sig),11.38,nan,<=(1sig),5.0,nan,<=(1sig),11.75,nan,,nan,nan,,nan,nan,<=(1sig),35.0,nan,<=(1sig),12.94,nan,=,130.0,10.0,=,14.02,0.03
Bordoloi+2014,13_58,165.809,41.7144,nan,SDSSJ110312.93+414154.9,165.804,41.6986,33.0,nan,7.6,nan,0.03,nan,nan,,9.32,nan,Bordoloi14(Kroupa IMF),11.44,nan,M21,11.29,nan,M21,nan,nan,,<,-2.0,nan,Bordoloi+2014,203.2,nan,122.3,nan,=,246.5,18.0,=,13.87,0.04,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),25.0,nan,<=(1sig),13.04,nan,,nan,nan,,nan,nan
Bordoloi+2014,252_124,230.3822,3.6144,nan,SDSSJ152139.66+033729.2,230.415,3.6248,87.0,nan,4.3,nan,0.036,nan,nan,,9.32,nan,Bordoloi14(Kroupa IMF),11.44,nan,M21,11.29,nan,M21,nan,nan,,=,0.0,nan,Bordoloi+2014,203.2,nan,122.3,nan,>,552.9,39.7,>,14.32,0.05,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),58.0,nan,<=(1sig),13.26,nan,,nan,nan,,nan,nan
Bordoloi+2014,70_57,202.7397,31.3306,nan,SDSSJ133053.27+311930.5,202.722,31.3252,37.0,nan,9.0,nan,0.034,nan,nan,,9.32,nan,Bordoloi14(Kroupa IMF),11.44,nan,M21,11.29,nan,M21,nan,nan,,=,-0.6,nan,Bordoloi+2014,203.2,nan,122.3,nan,>,830.8,18.3,>,14.65,0.02,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,=,406.0,30.0,=,14.27,0.03,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ170615.84+604218.8,256.566,60.7052,nan,3C351,256.1724,60.7418,172.3,nan,nan,5.0,0.0119,nan,nan,,9.33,nan,Liang+2014(Kroupa IMF),11.450000000000001,nan,M21,11.3,nan,M21,nan,nan,,,nan,nan,Liang+2014,204.8,nan,123.2,nan,=,402.0,24.0,=,13.87,0.03,<=(1sig),6.0,nan,<=(1sig),11.56,nan,<=(1sig),13.0,nan,<=(1sig),11.79,nan,<=(1sig),5.0,nan,<=(1sig),11.75,nan,<=(1sig),6.5,nan,<=(1sig),12.51,nan,<=(1sig),17.5,nan,<=(1sig),12.64,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXiJ100427.0+284044,151.1129,28.6789,nan,TON28,151.0109,28.9265,403.4,nan,20.3,5.0,0.021,nan,nan,,9.33,nan,Liang+2014(Kroupa IMF),11.450000000000001,nan,M21,11.3,nan,M21,nan,nan,,,nan,nan,Liang+2014,204.8,nan,123.2,nan,,nan,nan,,nan,nan,<=(1sig),6.0,nan,<=(1sig),11.56,nan,<=(1sig),9.0,nan,<=(1sig),11.63,nan,<=(1sig),9.5,nan,<=(1sig),12.03,nan,<=(1sig),7.0,nan,<=(1sig),12.54,nan,<=(1sig),15.0,nan,<=(1sig),12.57,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ004208.22-102929.1,10.5343,-10.4914,nan,SDSSJ004222.29-103743.8,10.5929,-10.6288,445.3,nan,6.5,nan,0.0421,nan,nan,,9.33,nan,Liang+2014(Kroupa IMF),11.450000000000001,nan,M21,11.3,nan,M21,nan,nan,,,-0.5,nan,Liang+2014,204.8,nan,123.2,nan,=,239.0,19.0,=,13.64,0.03,<=(1sig),8.5,nan,<=(1sig),11.71,nan,<=(1sig),9.5,nan,<=(1sig),11.66,nan,<=(1sig),12.0,nan,<=(1sig),12.13,nan,<=(1sig),15.5,nan,<=(1sig),12.89,nan,<=(1sig),36.5,nan,<=(1sig),12.96,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ075108.95+291736.4,117.7873,29.2934,nan,FBQS0751+2919,117.8013,29.3273,228.3,nan,9.9,nan,0.095,nan,nan,,9.33,nan,Liang+2014(Kroupa IMF),11.450000000000001,nan,M21,11.3,nan,M21,nan,nan,,,nan,nan,Liang+2014,204.8,nan,123.2,nan,=,190.0,7.0,=,13.54,0.02,<=(1sig),2.5,nan,<=(1sig),11.18,nan,<=(1sig),4.5,nan,<=(1sig),11.33,nan,<=(1sig),3.5,nan,<=(1sig),11.6,nan,<=(1sig),6.5,nan,<=(1sig),12.51,nan,<=(1sig),6.0,nan,<=(1sig),12.17,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ000545.07+160853.3,1.4378,16.1481,nan,PG0003+158,1.4968,16.1636,156.2,nan,24.2,nan,0.0372,nan,nan,,9.33,nan,Liang+2014(Kroupa IMF),11.450000000000001,nan,M21,11.3,nan,M21,nan,nan,,,-0.76,nan,Liang+2014,204.8,nan,123.2,nan,,nan,nan,,nan,nan,<=(1sig),4.5,nan,<=(1sig),11.43,nan,<=(1sig),3.5,nan,<=(1sig),11.22,nan,,nan,nan,,nan,nan,<=(1sig),5.5,nan,<=(1sig),12.44,nan,<=(1sig),12.0,nan,<=(1sig),12.47,nan,,nan,nan,,nan,nan
Bordoloi+2014,358_9,10.5928,-10.6264,nan,SDSSJ004222.29-103743.8,10.5929,-10.6288,15.0,nan,6.5,nan,0.095,nan,nan,,9.42,nan,Bordoloi14(Kroupa IMF),11.5,nan,M21,11.35,nan,M21,nan,nan,,=,-0.7,nan,Bordoloi+2014,212.8,nan,128.0,nan,>,1346.3,24.7,>,14.84,0.02,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,=,511.0,48.0,>,14.55,nan,,nan,nan,,nan,nan
Bordoloi+2014,94_177,131.0217,41.2907,nan,SDSSJ084349.49+411741.6,130.9561,41.2949,103.0,nan,4.2,nan,0.03,nan,nan,,9.42,nan,Bordoloi14(Kroupa IMF),11.5,nan,M21,11.35,nan,M21,nan,nan,,=,-0.3,nan,Bordoloi+2014,212.8,nan,128.0,nan,>,451.8,33.5,>,14.23,0.05,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,=,180.0,43.0,=,13.84,0.1,,nan,nan,,nan,nan
Bordoloi+2014,316_78,162.949,-0.839,nan,PG1049-005,162.9643,-0.8549,58.0,nan,10.5,nan,0.039,nan,nan,,9.42,nan,Bordoloi14(Kroupa IMF),11.5,nan,M21,11.35,nan,M21,nan,nan,,=,-0.3,nan,Bordoloi+2014,212.8,nan,128.0,nan,>,508.9,14.7,>,14.43,0.03,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),16.0,nan,<=(1sig),12.68,nan,,nan,nan,,nan,nan
Bordoloi+2014,198_218,146.5609,47.1342,nan,SDSSJ094621.26+471131.3,146.5885,47.192,66.0,nan,2.4,nan,0.015,nan,nan,,9.42,nan,Bordoloi14(Kroupa IMF),11.5,nan,M21,11.35,nan,M21,nan,nan,,=,-0.3,nan,Bordoloi+2014,212.8,nan,128.0,nan,>,683.2,105.7,>,14.33,0.07,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),59.0,nan,<=(1sig),13.41,nan,,nan,nan,,nan,nan
Bordoloi+2014,182_159,209.1042,25.2123,nan,SDSSJ135625.55+251523.7,209.106,25.2566,97.0,nan,7.7,nan,0.032,nan,nan,,9.42,nan,Bordoloi14(Kroupa IMF),11.5,nan,M21,11.35,nan,M21,nan,nan,,<,-2.5,nan,Bordoloi+2014,212.8,nan,128.0,nan,>,825.8,22.5,>,14.47,0.02,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),35.0,nan,<=(1sig),12.97,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ115840.97-003549.8,179.6707,-0.5972,nan,SDSSJ115758.72-002220.8,179.4947,-0.3725,444.7,nan,6.9,nan,0.0214,nan,nan,,9.43,nan,Liang+2014(Kroupa IMF),11.5,nan,M21,11.35,nan,M21,nan,nan,,,-0.83,nan,Liang+2014,212.8,nan,128.0,nan,=,359.0,16.0,=,13.82,0.02,<=(1sig),10.0,nan,<=(1sig),11.78,nan,<=(1sig),9.0,nan,<=(1sig),11.63,nan,<=(1sig),16.0,nan,<=(1sig),12.26,nan,<=(1sig),14.0,nan,<=(1sig),12.84,nan,<=(1sig),18.5,nan,<=(1sig),12.66,nan,,nan,nan,,nan,nan
